filename,datetime_original,price_per_gallon_gtq,price_diesel_gtq,price_regular_gtq,price_super_gtq,price_vpower_gtq,fecha,day_of_week,month,is_weekend,days_since_previous_fill,price_change_gtq,price_change_pct,exchange_rate_usd_gtq,official_super_gtq,official_regular_gtq,official_diesel_gtq,station_markup_super_gtq
IMG_8271.HEIC,2026:07:09 19:42:19,38.0904,35.17,36.01,38.0904,,2026-07-09,Thursday,7,False,,,,7.62129,37.01,36.01,35.17,1.0804000000000045
IMG_8286.HEIC,2026:07:15 19:57:16,39.5883,37.58,38.07,39.5883,,2026-07-15,Wednesday,7,False,6.0,1.4978999999999942,3.9324869258395623,7.61989,39.06,38.07,37.58,0.5282999999999944
IMG_8304.HEIC,2026:07:22 21:50:33,41.0846,42.26,40.07,41.0846,,2026-07-22,Wednesday,7,False,7.0,1.496300000000005,3.7796520689193702,7.62466,41.07,40.07,42.26,0.0146000000000015
IMG_8322.HEIC,2026:07:26 18:11:25,42.0875,42.26,40.07,42.0875,,2026-07-26,Sunday,7,True,4.0,1.0028999999999968,2.441060640726689,7.62581,41.07,40.07,42.26,1.0174999999999983
IMG_8325.HEIC,2026:07:30 20:00:51,42.0875,43.72,41.03,42.0875,,2026-07-30,Thursday,7,False,4.0,0.0,0.0,7.62552,42.03,41.03,43.72,0.05749999999999744
